#{"t_start": 1606268491.899233, "env_id": null}
r,l,t
-951.817341,245,207.050743
40.28459,26,207.077871
-470.808965,303,207.355449
-1041.910534,390,207.721733
-411.57649,411,208.096903
-2715.643617,430,208.551772
-630.536097,91,208.635438
-134.567737,105,208.748231
-1292.7176,198,208.946187
-1601.08234,197,209.145274
-2381.032675,408,209.562077
41.77113,23,209.588406
-3576.87632,395,209.965019
-1352.950836,331,210.260772
-2110.618978,415,210.67162
-699.434909,454,211.13031
-273.706209,267,211.423759
-290.587989,137,211.56293
-502.376576,327,211.943268
-345.280882,117,212.066439
-1483.949308,260,212.31679
-1301.026419,113,212.429869
-605.026726,299,212.735409
-48.118856,194,212.942945
-3741.477627,291,213.211796
9.346778,221,213.409939
-2461.840702,178,213.617218
-2898.923882,1060,214.621771
-1185.530391,348,214.961075
-2688.341028,450,215.419135
-126.784863,255,215.669646
-781.892654,270,215.916183
-3542.901483,480,216.39494
-105.846732,77,216.481208
-3591.059503,304,216.769656
-1252.582607,253,217.015463
-2852.728463,403,217.403671
-1472.162752,126,217.521749
-615.748447,321,217.822429
-3542.355981,481,218.27385
-179.131564,49,218.33352
75.485954,80,218.416287
-517.1341,325,218.759129
-33.715251,38,218.79984
-1890.613649,275,219.069657
-218.89069,312,219.396798
-2529.869087,460,219.857802
-3693.115267,261,220.148459
-1593.886569,209,220.378864
-240.051885,117,220.485866
-924.640106,333,220.804945
-3466.483764,234,221.041237
-1849.147494,265,221.308216
-744.249355,202,221.511114
-5312.499341,994,222.4405
-2386.273112,161,222.582761
-5501.702961,493,223.059454
83.818203,68,223.119187
-1001.365798,213,223.31656
-3740.654874,421,223.730592
88.179278,107,223.830538
-700.947511,96,223.924931
-35.370263,105,224.023109
-3611.862932,334,224.357553
-228.731951,311,224.671301
-11873.486165,1271,226.00437
-594.792399,253,226.250665
-624.590659,130,226.393031
-572.148224,348,226.741994
85.138294,61,226.807645
-4359.728041,672,227.487226
-4657.04901,397,227.851981
-135.7425,106,227.948236
